Company Name,Symbol
ANSYSInc.,ANSS
AutodeskInc.,ADSK
AutoNationInc.,AN
BlackRockInc.,BLK
Carter'sInc.,CRI
Cisco SystemsI,CSCO
CrocsInc.,CROX
CrowdStrike Hold,CRWD
Cummins Inc.,CMI
D.R. HortonInc,DHI
"Delta Air Lines",DAL
East West Bancor,EWBC
Five BelowInc.,FIVE
Ford Motor Compa,F
Fortune Brands H,FBHS
Genpact Limited,G
Group 1 Automoti,GPI
Huntsman Corpora,HUN
KLA Corporation,KLAC
Merck & Co.Inc,MRK
"MKS Instruments,",MKSI
National Retail,NNN
PACCAR Inc,PCAR
Palo Alto Networ,PANW
"Quanta Services,",PWR
Rambus Inc.,RMBS
"salesforce.com,",CRM
ServiceNowInc.,NOW
Signature Bank,SBNY
Spotify Technolo,SPOT
State Street Cor,STT
SynopsysInc.,SNPS
Sysco Corporatio,SYY
T-Mobile USInc,TMUS
Taiwan Semicondu,TSM
TeslaInc.,TSLA
The Charles Schw,SCHW
United Airlines,UAL
Unity Software I,U
Apple,AAPL
Google,GOOG
tesla,TSLA
confluent,CFLT
vanguard total market,VTI
Activision Blizz,ATVI
Adobe Inc.,ADBE
Alaska Air Group,ALK
AmerisourceBerge,ABC
ANSYS,ANSS
Applied Material,AMAT
ASML Holding N.V,ASML
Atlassian Corpor,TEAM
Autodesk,ADSK
AutoNation,AN
Ball Corporation,BLL
BlackRock,BLK
Broadcom Inc.,AVGO
Cadence Design S,CDNS
Carpenter Techno,CRS
Cleveland-Cliffs,CLF
Commvault System,CVLT
Crocs,CROX
Delta Air Lines,DAL
Devon Energy Cor,DVN
DuPont de Nemour,DD
Fair Isaac Corpo,FICO
FedEx Corporatio,FDX
Fidelity Nationa,FIS
Five Below,FIVE
Freeport-McMoRan,FCX
General Dynamics,GD
HSBC Holdings pl,HSBC
Jacobs Engineeri,J
Knight-Swift Tra,KNX
Laboratory Corpo,LH
Lennar Corporati,LEN
Lockheed Martin,LMT
Lumentum Holding,LITE
Manhattan Associ,MANH
Merck & Co.,MRK
Meritage Homes C,MTH
Microsoft Corpor,MSFT
MKS Instruments,MKSI
MP Materials Cor,MP
New Relic,NEWR
News Corporation,NWSA
NICE Ltd.,NICE
Northrop Grumman,NOC
Olin Corporation,OLN
Orange S.A.,ORAN
Ovintiv Inc.,OVV
Papa John's Inte,PZZA
Pegasystems Inc.,PEGA
PepsiCo,PEP
Pfizer Inc.,PFE
Pitney Bowes Inc,PBI
PTC Inc.,PTC
Quanta Services,PWR
Raytheon Technol,RTX
Robert Half Inte,RHI
Roblox Corporati,RBLX
Ryder System,R
salesforce.com,CRM
Sea Limited,SE
ServiceNow,NOW
Southwest Airlin,LUV
Spirit AeroSyste,SPR
Stanley Black &,SWK
Summit Materials,SUM
Synopsys,SNPS
T-Mobile US,TMUS
Targa Resources,TRGP
Teck Resources L,TECK
The Allstate Cor,ALL
The Boeing Compa,BA
The Chemours Com,CC
The Goldman Sach,GS
The TJX Companie,TJX
Twilio Inc.,TWLO
Uber Technologie,UBER
United Parcel Se,UPS
UnitedHealth Gro,UNH
V.F. Corporation,VFC
Roku,ROKU
Intuit,INTU
DocuSign,DOCU
Airbnb,ABNB
Upstart,UPST
Trade desk,TTD
Snowflake,SNOW
Shopify,SHOP
Unify,U
Lululemon,LULU
Digitalocean Holdings,DOCN
Teledoc,TDOC
Align tech,ALGN
Twilio,TWLO
Taskus,TASK
Intutive Surgical,ISRG
Doximity,DOCS
AerCap Holdings,AER
Air Products and,APD
